number_of_tasks,overdue_tasks,pct_overdue,number_of_statuses_used,status_entropy,wip_load,pct_critical_open,pct_high_open,pct_medium_open,pct_low_open,pct_pending_status,pct_todo_status,pct_in_progress_status,pct_done_status,pct_blocked_status,health_score,crisis_index,backlog_pressure,last_task_created_label,last_task_created_priority,last_task_created_status,last_action_critical_bug,predicted_view,predicted_status_filter,predicted_priority_filter
60,5,0.0833,5,1.5171063970610277,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.16666666666666666,0.16666666666666666,0.25,0.08333333333333333,0.3333333333333333,0.15983181818181819,0.007572727272727273,0.015151515151515152,Dokumentation,Hoch,Blockiert,0,list,Blockiert,Hoch
30,3,0.1,4,0.9797318396496707,0.10714285714285714,0.0,0.17857142857142858,0.35714285714285715,0.17857142857142858,0.6666666666666666,0.16666666666666666,0.1,0.06666666666666667,0.0,0.05,0.0,0.02976190476190476,Feature,Mittel,Start ausstehend,0,list,Start ausstehend,none
55,2,0.0364,4,1.1685184057430877,0.4,0.0,0.2,0.6,0.2,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.5454545454545454,0.0,0.0182,0.0,0.03636363636363637,Feature,Niedrig,Erledigt,0,list,none,none
75,3,0.04,5,1.5641315026219946,0.3076923076923077,0.07692307692307693,0.15384615384615385,0.46153846153846156,0.15384615384615385,0.2,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.07538461538461538,0.0030769230769230774,0.041025641025641026,Bug,Mittel,Zu Erledigen,0,kanban,none,none
50,5,0.1,5,1.4708084763221114,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.1,0.2,0.2,0.1,0.4,0.16999999999999998,0.0,0.08888888888888889,Dokumentation,Niedrig,Blockiert,0,list,none,Niedrig
40,5,0.125,5,1.4941751382893085,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.125,0.25,0.375,0.125,0.125,0.1285714285714286,0.017857142857142856,0.03571428571428571,Bug,Hoch,In Bearbeitung,0,list,In Bearbeitung,Hoch
45,8,0.1778,5,1.5229550675313184,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1508047619047619,0.0254,0.031746031746031744,Feature,Hoch,Zu Erledigen,0,list,none,none
25,3,0.12,4,1.3321790402101223,0.5,0.25,0.5,0.25,0.25,0.2,0.2,0.4,0.2,0.0,0.11,0.03,0.05,Bug,Hoch,Zu Erledigen,0,list,Zu Erledigen,Hoch
65,4,0.0615,5,1.5247073930301436,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.45454545454545453,0.09090909090909091,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.07200874125874127,0.005590909090909091,0.02097902097902098,Feature,Mittel,In Bearbeitung,0,kanban,none,none
50,1,0.02,4,1.0888999753452235,0.5,0.0,0.25,0.5,0.25,0.1,0.1,0.2,0.6,0.0,0.01,0.0,0.025,Feature,Hoch,Erledigt,0,list,none,none
35,3,0.0857,5,1.4750763110546947,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.5,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.17142142857142856,0.0,0.07142857142857142,Dokumentation,Niedrig,Blockiert,0,list,none,Niedrig
80,5,0.0625,5,1.559581156259877,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.5,0.14285714285714285,0.25,0.25,0.25,0.125,0.125,0.0830357142857143,0.004464285714285714,0.03571428571428571,Feature,Mittel,Zu Erledigen,0,kanban,none,none
28,3,0.1071,4,1.0194897804814294,0.11538461538461539,0.0,0.19230769230769232,0.38461538461538464,0.19230769230769232,0.6428571428571429,0.17857142857142858,0.10714285714285714,0.07142857142857142,0.0,0.05355,0.0,0.034340659340659344,Feature,Mittel,Start ausstehend,0,list,Start ausstehend,none
50,7,0.14,5,1.5047882836811906,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.1,0.2,0.3,0.3,0.1,0.1285714285714286,0.02,0.02857142857142857,Bug,Hoch,Zu Erledigen,0,list,none,none
60,2,0.0333,4,1.1187433359857524,0.4,0.0,0.2,0.4,0.4,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.0,0.01665,0.0,0.06666666666666667,Dokumentation,Mittel,Erledigt,0,list,none,none
40,4,0.1,5,1.3862943611198906,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.5142857142857142,0.125,0.125,0.125,0.125,0.5,0.2,0.0,0.06428571428571428,Dokumentation,Niedrig,Blockiert,0,list,none,Niedrig
70,3,0.0429,5,1.5740973368489728,0.25,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.21428571428571427,0.2857142857142857,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.08097380952380952,0.003575,0.047619047619047616,Feature,Hoch,Zu Erledigen,0,kanban,none,none
38,5,0.1316,5,1.5188556001618612,0.3939393939393939,0.15151515151515152,0.36363636363636365,0.24242424242424243,0.15151515151515152,0.13157894736842105,0.2631578947368421,0.34210526315789475,0.13157894736842105,0.13157894736842105,0.13557671451355663,0.01993939393939394,0.03987240829346093,Bug,Hoch,In Bearbeitung,0,list,In Bearbeitung,Hoch
55,6,0.1091,5,1.4681399390162087,0.5,0.125,0.25,0.5,0.125,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.09090909090909091,0.10682272727272726,0.0136375,0.022727272727272728,Feature,Hoch,Zu Erledigen,0,list,none,none
22,3,0.1364,4,1.365392686748971,0.4117647058823529,0.29411764705882354,0.47058823529411764,0.29411764705882354,0.23529411764705882,0.18181818181818182,0.2727272727272727,0.3181818181818182,0.22727272727272727,0.0,0.1270235294117647,0.04011764705882353,0.0641711229946524,Bug,Hoch,Zu Erledigen,0,list,Zu Erledigen,Hoch
45,3,0.0667,5,1.5229550675313184,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.10001666666666667,0.011116666666666665,0.14814814814814814,Dokumentation,Niedrig,Zu Erledigen,0,list,none,Niedrig
50,7,0.14,4,1.2798542258336676,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.3,0.4,0.1,0.0,0.09222222222222223,0.015555555555555557,0.09999999999999999,Feature,Hoch,In Bearbeitung,0,list,In Bearbeitung,Hoch
60,3,0.05,5,1.5171063970610277,0.4,0.1,0.2,0.4,0.5,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.07,0.005000000000000001,0.125,Feature,Mittel,In Bearbeitung,0,kanban,none,none
30,2,0.0667,5,1.063132243572702,0.4,0.2,0.4,0.3,0.1,0.06666666666666667,0.1,0.13333333333333333,0.6666666666666666,0.03333333333333333,0.08335000000000001,0.01334,0.010000000000000002,Feature,Mittel,Erledigt,0,list,none,none
25,3,0.12,5,1.4667813736119735,0.22727272727272727,0.13636363636363635,0.45454545454545453,0.22727272727272727,0.3181818181818182,0.2,0.4,0.2,0.12,0.08,0.11127272727272726,0.01636363636363636,0.1272727272727273,Bug,Hoch,Zu Erledigen,0,list,Zu Erledigen,Hoch
40,4,0.1,5,1.2755578689221776,0.1388888888888889,0.1388888888888889,0.2777777777777778,0.2777777777777778,0.4166666666666667,0.5,0.25,0.125,0.1,0.025,0.08527777777777779,0.01388888888888889,0.10416666666666667,Feature,Mittel,Start ausstehend,0,list,Start ausstehend,none
35,3,0.0857,5,1.4750763110546947,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.20475476190476188,0.014283333333333332,0.07142857142857142,Feature,Hoch,Blockiert,0,list,Blockiert,Hoch
55,8,0.1455,5,1.5465986860485124,0.3333333333333333,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.12224494949494949,0.016166666666666666,0.1212121212121212,Feature,Mittel,Zu Erledigen,0,list,none,none
20,1,0.05,4,0.8260651866153444,0.4,0.2,0.4,0.4,0.0,0.05,0.1,0.1,0.75,0.0,0.065,0.010000000000000002,0.0,Feature,Mittel,Erledigt,0,list,none,none
65,4,0.0615,5,1.5247073930301434,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.07200874125874127,0.005590909090909091,0.13986013986013987,Feature,Hoch,In Bearbeitung,0,kanban,none,none
30,3,0.1,5,1.4964621567008207,0.22727272727272727,0.45454545454545453,0.22727272727272727,0.22727272727272727,0.45454545454545453,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.26666666666666666,0.06666666666666667,0.16090909090909092,0.045454545454545456,0.1515151515151515,Bug,Kritisch,Zu Erledigen,1,list,Zu Erledigen,Kritisch
45,6,0.1333,4,1.310783678099714,0.375,0.125,0.3,0.375,0.325,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.0,0.09165000000000001,0.0166625,0.10833333333333334,Feature,Hoch,In Bearbeitung,0,list,In Bearbeitung,Hoch
50,4,0.08,5,1.4708084763221112,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.8333333333333334,0.1,0.2,0.1,0.4,0.2,0.13333333333333333,0.013333333333333332,0.16666666666666669,Dokumentation,Niedrig,Zu Erledigen,0,list,none,Niedrig
